title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
LIVE - Applied Linguistics,sGAMj3qkbAM,Prof. Rajesh Kumar - IITM,2020-09-24T05:16:23Z,92,7,4153,11
LIVE - Introduction to Developmental Biology,CjZczOphnwU,Prof. Subramaniam K - IITM,2020-09-24T05:29:05Z,137,8,4230,11
LIVE - Ecology and Environment,EJT8IojTWEQ,Prof. R.Ravi Krishna - IITM,2020-09-25T05:54:28Z,155,8,3851,11
LIVE _ NPTEL Awareness Workshop,w_lInSoh-bs,"NPTEL Awareness Webinar organized by G H Raisoni University, Amravati and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form linkhttps://forms.gle/D2ejriC7gZGXSfZm8",2020-09-02T10:18:44Z,574,27,13128,11
NPTEL Impact & Infrastructure,oZ7x_jcCEmQ,,2020-08-21T08:34:59Z,91,3,4033,11
Live_NPTEL AWARENESS Workshop 18th Aug 2020,LKCErtLN2Gw,"NPTEL Awareness Webinar organized by Pallavi Engineering College, Telangana and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened in the second half of the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form link: https://forms.gle/zvkEpcpfSAgVC6Z7A",2020-08-07T08:48:30Z,379,12,10423,11
Live_NPTEL AWARENESS Workshop 13th Aug 2020,sB1_zCQ8UMk,"NPTEL Awareness Webinar organized by Galgotias University and NPTEL, IIT Madras.This webinar will cover details related to NPTEL Online Certification process and how colleges can partner with NPTEL as Local Chapters.

A feedback form for the participants will be opened during the session and closed within 15 minutes of the end of the webinar. E-Certificates will be provided only to the participants who are pre-registered to the workshop and submitted the feedback form.

Feedback form link: https://forms.gle/t2cmau68jt6zmvzq9",2020-08-07T08:47:06Z,344,17,10583,11
NPTEL Domain Certification,peIFYcP7zbI,NPTEL Domain Certification,2020-08-03T05:00:54Z,642,10,26257,11
Joy of Computing has brought joy in Ajay's programming activities,fJK62qKrHS4,"Ajay from R C Patel Institute of Technology, Maharashtra elucidates how taking up the course Joy of Computing in Python has changed his perspective of programming. He credits that the course for helping him develop logical skills. He is with a company called Sunlink Photovoltaic, at present.",2020-07-31T04:21:12Z,50,2,2828,11
When an NPTEL course faciliatated Punita Jani in learning Data Science concepts from the scratch,H6-yDKimzM0,"For Punita Jani who works as a consultant at ATOS Syntel, the NPTEL course on data science that she took helped her learn data science from scratch. She already had the experience of working on data analytics and wished to learn data science, going further.",2020-07-31T04:21:07Z,32,1,2785,11
Athar says that NPTEL courses gave him industry relevant knowledge,zvzuLxXjd5U,"Athar Nawaz Shah from Amity School of Engineering and Technology, Uttar Pradesh believes that NPTEL courses helped him in getting knowledge relevant to the industry in addition to gaining knowledge in a particular domain.",2020-07-31T04:21:02Z,17,1,1321,11
Pranay credits NPTEL courses for giving clarity on the various subject concepts,ueBaoqKP71k,"Pranay Sharma from Army Institute of Technology, Pune, Maharashtra says that NPTEL courses have helped him understand concepts with greater clarity. He works as a Technical Specialist in Cummins Inc.",2020-07-31T04:20:57Z,30,1,1215,11
